Updated Matlist.txt 5/22/2011
http://www.VarmintAl.com/aengr.htm
English Units (lbf-s2/in, in, s, lbf, psi, lbf-in)
 
I.D. Material Name and Condition.                                  Density Yng's Poiss  Yld   Ult  Elong Redu  CTE  Yld
                                                                   lb/in^3 Modul Ratio  Strs  Strs   %   Area 10^-6 off-
                                                                            msi         ksi   ksi         %   /degF set
  52 ALUMINUM 5083-H12 SHEET                                        0.0960 10.30 0.330  44.0  52.0  10.0  --- 13.20 0.20
  53 ALUMINUM 5083-H32 SHEET                                        0.0960 10.30 0.330  38.0  51.0  12.0  --- 13.20 0.20
  54 ALUMINUM 5083-H34 SHEET                                        0.0960 10.30 0.330  45.0  54.0  11.0  --- 13.20 0.20
  55 ALUMINUM 5083-H321                                             0.0960 10.30 0.330  34.1  48.6  15.0 23.0 13.20 0.20
  56 ALUMINUM 5086-O SHEET                                          0.0960 10.30 0.330  19.0  41.0  24.0  --- 13.20 0.20
  57 ALUMINUM 5086-O                                                0.0960 10.30 0.330  17.0  38.0  30.0  --- 13.20 0.20
  58 ALUMINUM 5086-H32 PLATE                                        0.0960 10.30 0.330  30.0  45.0  16.0  --- 13.20 0.20
  59 ALUMINUM 5086-H34 SHEET                                        0.0960 10.30 0.330  38.0  50.0  13.0  --- 13.20 0.20
  60 ALUMINUM 5086-H34 PLATE                                        0.0960 10.30 0.330  38.0  51.0  12.0  --- 13.20 0.20
  61 ALUMINUM 5154-O SHEET                                          0.0960 10.20 0.330  16.0  35.0  26.0  --- 13.30 0.20
  62 ALUMINUM 5154-H32 SHEET                                        0.0960 10.20 0.330  31.0  41.0  14.0  --- 13.30 0.20
  63 ALUMINUM 5154-H34 SHEET                                        0.0960 10.20 0.330  38.0  46.0  10.0  --- 13.30 0.20
  64 ALUMINUM 5154-H38 SHEET                                        0.0960 10.20 0.330  43.0  49.0  10.0  --- 13.30 0.20
  65 ALUMINUM 5454-O SHEET                                          0.0970 10.20 0.330  16.0  38.0  22.0  --- 13.10 0.20
